name,url_slug,url,pdf_url,website,tags,meal_type,address,latitude,longitude
Churrascaria Plataforma Brazilian Steakhouse,churrascaria-plataforma-brazilian-steakhouse,https://www.nyctourism.com/restaurant-week/churrascaria-plataforma-brazilian-steakhouse,https://assets.ctfassets.net/1aemqu6a6t65/2Ib8fbBnSkx0tFqrGYak0w/4976e269ed46d1f1832ee1267272d5d7/RW_Summer_Menu.pdf,https://plataformaonline.com,Restaurants; Midtown West; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Latino Owned; Brazilian; Steakhouse; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Internet; $$$$; Live Music; Member Organization; Private Function Room(s); Outdoor Dining,Dinner_Price_60; Sunday_Dinner_Price_60,"316 W. 49th St.,Manhattan,10019,NY",40.7620327,-73.9876634
Scarpetta,scarpetta,https://www.nyctourism.com/restaurant-week/scarpetta,https://assets.ctfassets.net/1aemqu6a6t65/7MfyZFDZ63O4CVONN7d4Y1/a42403f3aaa75f5bd2e350207bd24e61/PDFsam_merge.pdf,https://www.scarpettarestaurants.com/location/scarpetta-new-york-city,Restaurants; Nomad; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60; Sunday_Dinner_Price_60; Sunday_LunchBrunch_Price_45,"88 Madison Ave.,Manhattan,10016,NY",40.7444392,-73.9857838
Hawksmoor,hawksmoor,https://www.nyctourism.com/restaurant-week/hawksmoor,https://assets.ctfassets.net/1aemqu6a6t65/2Lgy2enTAfI0EQLoQdW0eI/f9e2f24652065778c44b6e6d8160a170/Hawksmoor_Restaurant_Week_Menu.pdf,https://www.hawksmoornyc.com,Restaurants; Gramercy; Manhattan; New York City; Wheelchair Accessible; Steakhouse; $$$$$; Mastercard Offer,Lunch_Price_60,"109 E. 22nd St.,Manhattan,10010,NY",40.7394533,-73.986426
Broadway Lounge,broadway-lounge,https://www.nyctourism.com/restaurant-week/broadway-lounge,https://assets.ctfassets.net/1aemqu6a6t65/2wLniLhmwSLfwVodg7fUZG/d17ba094dc4a8d2ce7ca8162d82f38e2/Restauant_Week_2023_Summer_Menu.pdf,https://www.broadwaylounge.nyc,Restaurants; Times Square/Theatre District; Manhattan; New York City; Wheelchair Accessible; American (New); Vegetarian Options; Gluten-Free; Internet; $$$; Live Music; Member Organization,Dinner_Price_60; Sunday_Dinner_Price_60,"New York Marriott Marquis, 1535 Broadway,Manhattan,10036,NY",40.7585862,-73.9858202
Le Monde,le-monde,https://www.nyctourism.com/restaurant-week/le-monde,https://assets.ctfassets.net/1aemqu6a6t65/2ny1HPYNAbMEgOxzGtQAOU/03130d43c6aee5324c6904f4b38cb18e/PDFsam_merge.pdf,https://lemondenyc.com,Restaurants; Morningside Heights; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; Free WiFi; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"2885 Broadway,Manhattan,10025,NY",40.8058863,-73.9658847
Ocean Prime,ocean-prime,https://www.nyctourism.com/restaurant-week/ocean-prime,https://assets.ctfassets.net/1aemqu6a6t65/23yseH0ckM3JWhAzVUlg7d/72ff569960291cb4e9754a3052776b59/NYC_RW_062623.pdf,https://www.ocean-prime.com/locations/new-york-city,Restaurants; Midtown West; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Seafood; Steakhouse; Gluten-Free; Free WiFi; Internet; $$$$; Member Organization,Dinner_Price_60; Sunday_Dinner_Price_60,"123 W. 52nd St.,Manhattan,10019,NY",40.7617542,-73.9805768
Gotham,gotham,https://www.nyctourism.com/restaurant-week/gotham,https://assets.ctfassets.net/1aemqu6a6t65/7Gkexl77o3gv7BY3RRD5nm/6a2da38b35db0accf9f95c25a4b2412d/Gotham_Restaurant_2023_Summer_NYC_Restaurant_Week_Lunch.pdf,http://www.gotham.restaurant,Restaurants; Greenwich Village; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; American (New); Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$$; Jazz; Live Music; Luxury; Kid-Friendly,Lunch_Price_45; Dinner_Price_60,"12 E. 12th St.,Manhattan,10003,NY",40.734207,-73.993699
Piggyback,piggyback,https://www.nyctourism.com/restaurant-week/piggyback,https://assets.ctfassets.net/1aemqu6a6t65/1Af4QdMmPd4DZsSyHLym5V/a728e05ac474bbaff42174d34759764c/PDFsam_merge.pdf,https://www.piggybacknyc.com,Restaurants; Chelsea; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Asian American Owned; Pan-Asian; Vegetarian Options; $$$; Member Organization,Lunch_Price_30; Dinner_Price_60; Sunday_LunchBrunch_Price_30,"140 W. 30th St.,Manhattan,10001,NY",40.7479602,-73.9916272
Pig and Khao,pig-and-khao,https://www.nyctourism.com/restaurant-week/pig-and-khao,https://assets.ctfassets.net/1aemqu6a6t65/7idqIcwgIbVelbrcolTLgH/a24ff3382990d8e76d9cb86498a5055a/PK_Menu_-_RW_Summer_23.pdf,https://www.pigandkhao.com,Restaurants; Lower East Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Asian American Owned; Asian Fusion; Pan-Asian; Vegetarian Options; $$$; Member Organization; Outdoor Dining,Dinner_Price_60; Sunday_Dinner_Price_60,"68 Clinton St.,Manhattan,10002,NY",40.7192718,-73.9848038
Nizza,nizza,https://www.nyctourism.com/restaurant-week/nizza,https://assets.ctfassets.net/1aemqu6a6t65/5HWAxkfEQS2DXbYcTz23eJ/ad84420700f0def167b2018d6b37a71d/Nizza_RW_Summer_2023.pdf,https://nizzanyc.com,Restaurants; Hells Kitchen; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; French; Pizza; Gluten-Free; $$; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"630 Ninth Ave.,Manhattan,10036,NY",40.759987,-73.9912338
